Palavra,Polaridade
anêmico,-1
anestesiado,-1
anestesiar,1
angelical,1
angélico,1
anglófobo,-1
angustiado,-1
angustiante,-1
animação,1
animado,1
animador,1
animal político,1
animal,-1
animar,1
animosidade,-1
animoso,1
aniquilado,-1
aniquilar,1
anjinho,-1
anómalo,-1
anoréctico,-1
anorético,-1
anorexia nervosa,-1
anorexia,-1
anormal,-1
anormalidade,-1
anotia,-1
ansioso,-1
anti-republicano,-1
antidemocrata,-1
antidesportista,-1
antidesportivismo,-1
antidogmático,1
antifascista,1
antiliberal,-1
antiliberalista,-1
antinatural,-1
antinazista,1
antinómico,-1
antipatia,-1
antipático,-1
antipatriota,-1
antipatriotismo,-1
antipolítico,-1
antiquado,-1
antisocial,-1
antropófago,-1
anular,1
apagado,-1
apagar-se,-1
apagar,1
apaixonante,1
apaixonar,1
apalermado,-1
apalhaçado,-1
apancado,-1
apanhado,-1
apanhar nas orelhas,-1
apanhar por tabela,-1
apaparicar,-1
aparolado,-1
apartado,-1
aparvalhado,-1
apatetado,-1
apatia,-1
apático,-1
apatriota,-1
apavorado,-1
apavorante,-1
apavorar-se,-1
apavorar,1
apaziguador,1
apaziguar,1
apeado,-1
apedantado,-1
apedrejado,-1
apedrejar,-1
apelativo,1
aperaltado,-1
aperreado,-1
apessoado,1
aplicado,1
aplicar golpes baixos a,-1
apócrifo,-1
apolíneo,1
apopléctico,-1
apoplético,-1
apoquentado,-1
apoquentador,-1
apostado,1
apóstata,-1
aprazível,1
apreciado,1
apreciador,1
apreciável,1
apreendido,-1
apreensivo,-1
apresentar alternativas,1
apresentar resultados,1
apresentável,1
aprimorado,1
apriorista,-1
aprisionado,-1
aprontar,-1
apropriado,1
apropriar-se,-1
aprovado,1
aproveitador,-1
aproveitar-se,-1
aprumado,1
aprumo,1
apto,1
apunhalado,-1
apunhalar pelas costas,-1
apunhalar,-1
apurado,1
aquietador,-1
arbitrário,-1
arcaico,-1
ardente,1
ardil,-1
ardiloso,-1
árduo,-1
arfante,-1
árido,-1
arisco,-1
armar barraca,-1
armar-se aos cágados,-1
armar-se aos cucos,-1
armar-se em carapau de corrida,-1
armar-se em chico esperto,-1
armar-se em parvo,-1
armar-se,-1
arnaz,1
arquejante,-1
arranhado,-1
arranjar lenha para se queimar,-1
arranjar sarna para se coçar,-1
arranjar um bico de obra,-1
arrasado,-1
arrasar,1
arrastadeiro,-1
arrastado,-1
arrebatar,1
arrebentado,-1
arrebitado,-1
arredado,-1
arredio,-1
arreliado,-1
arreliador,-1
arreliar,1
arrenegado,-1
arrepender-se,-1
arrepiante,-1
arrepio,-1
arretado,1
arrevesado,-1
arrivista,-1
arrogância,-1
arrogante,-1
arrojado,1
arrolado,-1
arruaceiro,-1
arrufado,-1
arrufo,-1
arruinado,-1
arruinamento,-1
